kabupaten_kota,jumlah_penduduk,jumlah_faskes,jumlah_rs
Kabupaten Bandung,3753120,4436,17
Kabupaten Bandung Barat,1884190,2387,11
Kabupaten Bekasi,3273870,3058,54
Kabupaten Bogor,5682300,5284,31
Kabupaten Ciamis,1259230,1660,6
Kabupaten Cianjur,2584990,3004,7
Kabupaten Cirebon,2387960,2785,13
Kabupaten Garut,2716950,4455,9
Kabupaten Indramayu,1914040,2427,12
Kabupaten Karawang,2554380,2464,26
Kabupaten Kuningan,1213930,1488,11
Kabupaten Majalengka,1352540,1544,6
Kabupaten Pangandaran,434100,547,1
Kabupaten Purwakarta,1050340,1093,10
Kabupaten Subang,1663160,1979,9
Kabupaten Sukabumi,2828020,3635,9
Kabupaten Sumedang,1187130,1758,5
Kabupaten Tasikmalaya,1920920,2472,2
Kota Bandung,2528160,2122,42
Kota Banjar,209790,220,4
Kota Bekasi,2644060,1713,48
Kota Bogor,1078350,1030,22
Kota Cimahi,598700,433,8
Kota Cirebon,344850,377,10
Kota Depok,2163640,1136,27
Kota Sukabumi,365740,482,6
Kota Tasikmalaya,750730,951,15
